from_shape,to_shape,count,p_to_given_from,p_to_background,lift,book,level,shape_field,transition_accent_mode
P<=4_A2_C0,P10-12_A8+_C3,6,0.02790698,0.01437962,1.9407309,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C1,P10-12_A8+_C2,6,0.03141361,0.04765818,0.65914425,numbers,major,transition_bucket_shape,accent_words
P13-15_A8+_C3,P7-9_A6-7_C1,6,0.22222222,0.09613804,2.31149098,numbers,major,transition_bucket_shape,accent_words
P<=4_A4_C1,P7-9_A6-7_C1,6,0.12244898,0.09613804,1.2736787,numbers,major,transition_bucket_shape,accent_words
P<=4_A4_C1,P<=4_A3_C0,6,0.12244898,0.11996713,1.02068773,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C1,P7-9_A8+_C1,6,0.03141361,0.0221857,1.4159395,numbers,major,transition_bucket_shape,accent_words
P5-6_A4_C1,P<=4_A3_C0,6,0.10909091,0.11996713,0.90933998,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C2,P<=4_A4_C0,6,0.09836066,0.04396056,2.2374751,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C0,P5-6_A5_C1,6,0.09230769,0.0788825,1.17019231,numbers,major,transition_bucket_shape,accent_words
P5-6_A6-7_C1,P<=4_A2_C0,6,0.06593407,0.08833196,0.74643496,numbers,major,transition_bucket_shape,accent_words
P5-6_A5_C1,P5-6_A6-7_C0,6,0.03141361,0.01520131,2.0665063,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C1,P<=4_A3_C0,6,0.11538462,0.11996713,0.9618019,numbers,major,transition_bucket_shape,accent_words
P7-9_A8+_C3,P<=4_A3_C1,6,0.42857143,0.02136401,20.06043956,numbers,major,transition_bucket_shape,accent_words
P5-6_A6-7_C1,P10-12_A8+_C2,5,0.05494505,0.04765818,1.15289883,numbers,major,transition_bucket_shape,accent_words
P10-12_A8+_C3,P<=4_A3_C0,5,0.14285714,0.11996713,1.19080235,numbers,major,transition_bucket_shape,accent_words
P10-12_A8+_C2,P5-6_A5_C1,5,0.04310345,0.0788825,0.54642601,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P16-18_A8+_C2,5,0.01712329,0.00780608,2.19358327,numbers,major,transition_bucket_shape,accent_words
P5-6_A4_C0,P5-6_A5_C0,5,0.03703704,0.04724733,0.78389694,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C1,P<=4_A4_C0,5,0.09615385,0.04396056,2.18727534,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P13-15_A8+_C2,5,0.02136752,0.0221857,0.96312124,numbers,major,transition_bucket_shape,accent_words
P10-12_A8+_C1,P7-9_A8+_C2,5,0.05208333,0.03286771,1.58463542,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P7-9_A6-7_C0,5,0.02136752,0.02629417,0.81263355,numbers,major,transition_bucket_shape,accent_words
P<=4_A2_C0,P7-9_A8+_C2,5,0.02325581,0.03286771,0.70755814,numbers,major,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A4_C1,5,0.02325581,0.02013147,1.15519696,numbers,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P5-6_A4_C1,5,0.02136752,0.02259655,0.94560995,numbers,major,transition_bucket_shape,accent_words
P<=4_A4_C1,P<=4_A2_C0,5,0.10204082,0.08833196,1.15519696,numbers,major,transition_bucket_shape,accent_words
P7-9_A8+_C1,P<=4_A2_C0,5,0.09259259,0.08833196,1.04823428,numbers,major,transition_bucket_shape,accent_words
P7-9_A8+_C1,P10-12_A8+_C1,5,0.09259259,0.03944125,2.34760802,numbers,major,transition_bucket_shape,accent_words
P10-12_A8+_C1,P5-6_A6-7_C1,5,0.05208333,0.03738702,1.39308608,numbers,major,transition_bucket_shape,accent_words
P16-18_A8+_C3,P<=4_A3_C0,5,0.26315789,0.11996713,2.19358327,numbers,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P7-9_A5_C1,5,0.01712329,0.01314708,1.30244007,numbers,major,transition_bucket_shape,accent_words
