from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P2_A2_C0,P2_A2_C0,48,0.06976744,0.11973547,0.58267983,81.684,8.1653837,-4.125219,1.0,upper,screening_selected_transition,genesis,minor,transition_exact_shape,taam_events
P<=4_A5_C0,P<=4_A3_C0,26,0.20155039,0.0884808,2.27789966,11.342,2.96151602,4.949492,0.00199601,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P5-6_A8+_C1,P<=4_A3_C0,12,0.3,0.0884808,3.39056604,3.678,1.7517,4.750813,0.00199601,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P10-12_A8+_C3,P<=4_A4_C0,16,0.23188406,0.10317195,2.24754936,7.102,2.61175008,3.406911,0.00199601,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P13-15_A8+_C3,P<=4_A4_C0,14,0.21212121,0.10317195,2.05599686,6.76,2.40623772,3.008847,0.00998004,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A5_C1,18,0.05825243,0.03639399,1.60060568,11.014,3.11853403,2.240155,0.0239521,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P7-9_A8+_C2,P<=4_A5_C0,12,0.07272727,0.04307179,1.68851304,7.108,2.40163939,2.036942,0.04790419,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P5-6_A6-7_C1,P<=4_A3_C0,33,0.12313433,0.0884808,1.39165024,23.998,4.58257526,1.964398,0.04191617,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P10-12_A8+_C1,P7-9_A8+_C1,12,0.125,0.07345576,1.70170455,7.102,2.50762285,1.953244,0.04391218,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P<=4_A4_C0,P10-12_A8+_C2,27,0.08737864,0.06310518,1.38465095,19.532,4.12492497,1.810457,0.06986028,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P7-9_A6-7_C1,P<=4_A5_C0,13,0.06565657,0.04307179,1.52435205,8.446,2.65276428,1.7167,0.06786427,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P7-9_A6-7_C1,P5-6_A6-7_C0,13,0.06565657,0.04440735,1.47850687,8.596,2.67115221,1.648727,0.08183633,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P10-12_A8+_C2,P5-6_A6-7_C1,22,0.11640212,0.08981636,1.29600126,17.056,3.68728303,1.340825,0.12774451,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P10-12_A8+_C2,P<=4_A4_C0,25,0.13227513,0.10317195,1.28208421,19.43,4.26350266,1.306438,0.12974052,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P7-9_A8+_C2,P7-9_A8+_C2,13,0.07878788,0.05509182,1.43011938,9.146,2.95535993,1.304071,0.11976048,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P7-9_A6-7_C1,P<=4_A3_C0,22,0.11111111,0.0884808,1.2557652,17.606,3.76179028,1.168061,0.15169661,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
P5-6_A6-7_C1,P5-6_A6-7_C0,16,0.05970149,0.04440735,1.34440579,12.104,3.36866142,1.156542,0.15968064,upper,screening_selected_transition,genesis,major,transition_bucket_shape,taam_events
