source,target,count,prob_given_source,target_predecessor_share,reverse_count,asymmetry_count,asymmetry_ratio,expected_independent,lift,book,run_label,stream_type
munah,darga,2,0.00110375,0.00956938,21,-19,0.0952381,29.632864,0.067493,deuteronomy,control_exclude_meteg,full
tevir,darga,2,0.00419287,0.00956938,183,-181,0.01092896,7.800704,0.256387,deuteronomy,control_exclude_meteg,full
pashta,telisha_qetana,2,0.00164204,0.01694915,0,2,inf,11.246009,0.177841,deuteronomy,control_exclude_meteg,full
revia,sof_pasuq,2,0.00390625,0.00209644,66,-64,0.03030303,38.219718,0.052329,deuteronomy,control_exclude_meteg,full
paseq,zaqef_qatan,2,0.02439024,0.00154679,0,2,inf,8.296244,0.241073,deuteronomy,control_exclude_meteg,full
zaqef_qatan,pazer,2,0.00154679,0.05714286,0,2,inf,3.54108,0.564799,deuteronomy,control_exclude_meteg,full
merkha,telisha_qetana,2,0.00125078,0.01694915,1,1,2.0,14.76385,0.135466,deuteronomy,control_exclude_meteg,full
telisha_qetana,tipeha,2,0.01694915,0.00107817,0,2,inf,17.127543,0.116771,deuteronomy,control_exclude_meteg,full
qadma,atnah,2,0.00454545,0.00219298,58,-56,0.03448276,31.399061,0.063696,deuteronomy,control_exclude_meteg,full
paseq,merkha,2,0.02439024,0.00125078,6,-4,0.33333333,10.259624,0.194939,deuteronomy,control_exclude_meteg,full
tipeha,pashta,2,0.00107817,0.00164204,1,1,2.0,176.79108,0.011313,deuteronomy,control_exclude_meteg,full
paseq,tipeha,2,0.02439024,0.00107817,0,2,inf,11.902191,0.168036,deuteronomy,control_exclude_meteg,full
gershayim,revia,2,0.01834862,0.00390625,5,-3,0.4,4.366823,0.457999,deuteronomy,control_exclude_meteg,full
geresh,telisha_qetana,2,0.00816327,0.01694915,0,2,inf,2.262128,0.884123,deuteronomy,control_exclude_meteg,full
darga,paseq,2,0.00956938,0.02439024,0,2,inf,1.341002,1.491423,deuteronomy,control_exclude_meteg,full
paseq,tevir,2,0.02439024,0.00419287,0,2,inf,3.060563,0.653474,deuteronomy,control_exclude_meteg,full
zaqef_qatan,telisha_qetana,2,0.00154679,0.01694915,0,2,inf,11.938498,0.167525,deuteronomy,control_exclude_meteg,full
pashta,yetiv,2,0.00164204,0.03076923,1,1,2.0,6.194836,0.32285,deuteronomy,control_exclude_meteg,full
munah,zarqa,2,0.00110375,1.0,1,1,2.0,0.283568,7.05298,deuteronomy,control_exclude_meteg,full
qadma,paseq,2,0.00454545,0.02439024,0,2,inf,2.823161,0.708426,deuteronomy,control_exclude_meteg,full
paseq,geresh,2,0.02439024,0.00816327,0,2,inf,1.571987,1.272275,deuteronomy,control_exclude_meteg,full
zaqef_gadol,darga,2,0.02857143,0.00956938,0,2,inf,1.144757,1.747095,deuteronomy,control_exclude_meteg,full
yetiv,pashta,1,0.01538462,0.00082102,2,-1,0.5,6.194836,0.161425,deuteronomy,control_exclude_meteg,full
segol,merkha,1,0.01470588,0.00062539,0,1,inf,8.507981,0.117537,deuteronomy,control_exclude_meteg,full
