from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P5_A4_C0,P2_A2_C0,51,0.16242038,0.17457853,0.93035716,54.782,6.22317699,-0.607728,0.75848303,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P2_A2_C0,P5_A4_C0,51,0.06480305,0.06965395,0.93035716,55.062,6.53847531,-0.621246,0.75449102,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P3_A2_C0,P2_A2_C0,42,0.15613383,0.17457853,0.89434727,46.382,6.37631483,-0.687231,0.76247505,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P4_A3_C0,P2_A2_C0,72,0.16143498,0.17457853,0.92471268,77.348,7.72724509,-0.692097,0.75449102,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P4_A3_C0,P4_A4_C0,43,0.09641256,0.10603372,0.90926319,47.62,6.23452794,-0.741034,0.80239521,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P3_A3_C0,P4_A3_C0,89,0.09241952,0.09893523,0.93414172,95.43,8.50775315,-0.755781,0.78443114,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P3_A2_C0,P3_A3_C0,52,0.19330855,0.21362023,0.90491687,57.094,6.50552132,-0.783027,0.81437126,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P4_A4_C0,P3_A3_C0,95,0.19874477,0.21362023,0.93036492,102.718,9.05795612,-0.852069,0.80638723,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P3_A3_C0,P3_A2_C0,51,0.0529595,0.05967169,0.88751462,57.448,6.60867954,-0.975687,0.85628743,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P2_A2_C0,P4_A4_C0,75,0.0952986,0.10603372,0.89875753,83.262,7.62585492,-1.08342,0.86826347,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P4_A4_C0,P2_A2_C0,75,0.15690377,0.17457853,0.89875753,84.342,8.05921447,-1.15917,0.90818363,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P1_A1_C0,P2_A2_C0,43,0.14827586,0.17457853,0.8493362,50.604,5.88050548,-1.293086,0.91816367,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P2_A2_C0,P4_A3_C0,67,0.08513342,0.09893523,0.86049652,77.256,7.6361696,-1.343082,0.9261477,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P3_A3_C0,P5_A5_C0,32,0.03322949,0.04392192,0.75655831,42.494,5.46605154,-1.91985,0.98403194,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P4_A3_C0,P3_A3_C0,78,0.17488789,0.21362023,0.818686,94.832,8.53683378,-1.971691,0.98403194,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P5_A4_C0,P4_A4_C0,22,0.07006369,0.10603372,0.66076806,33.13,5.4214282,-2.052965,0.99001996,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P2_A2_C0,P1_A1_C0,37,0.04701398,0.06410825,0.73335297,50.342,6.38235889,-2.09045,0.98602794,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P3_A3_C0,P5_A4_C0,51,0.0529595,0.06965395,0.76032304,67.508,7.05361205,-2.340361,0.99600798,upper,screening_selected_transition,exodus,minor,transition_exact_shape,accent_words
P<=4_A4_C0,P5-6_A5_C0,15,0.12096774,0.05023414,2.40807818,6.236,2.41577647,3.627819,0.00399202,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P<=4_A2_C0,P13-15_A8+_C2,9,0.06293706,0.02171137,2.89880708,2.998,1.66358981,3.607861,0.00199601,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
