from_shape,to_shape,count,p_to_given_from,p_to_background,lift,book,level,shape_field,transition_accent_mode
P<=4_A0-1_C0,P<=4_A5_C0,24,0.0620155,0.05429864,1.14211886,genesis,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P5-6_A5_C0,23,0.0751634,0.0673512,1.11599196,genesis,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P5-6_A6-7_C0,23,0.0751634,0.05325444,1.4114016,genesis,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P<=4_A5_C0,23,0.08273381,0.05429864,1.52368106,genesis,minor,transition_bucket_shape,taam_events
P7-9_A8+_C0,P<=4_A3_C0,22,0.34920635,0.26505395,1.31749158,genesis,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P5-6_A5_C0,22,0.07913669,0.0673512,1.17498559,genesis,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A4_C0,22,0.05684755,0.04838148,1.17498559,genesis,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A0-1_C0,21,0.06730769,0.0673512,0.99935401,genesis,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P5-6_A6-7_C0,21,0.06730769,0.05325444,1.26388889,genesis,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P7-9_A8+_C0,21,0.01377953,0.01096415,1.2567804,genesis,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P7-9_A6-7_C0,20,0.0210084,0.02471284,0.8501006,genesis,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A2_C0,20,0.14084507,0.16568047,0.8501006,genesis,minor,transition_bucket_shape,taam_events
