from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P5-6_A6-7_C1,P5-6_A5_C0,9,0.04639175,0.0566968,0.81824294,11.412,3.28472429,-0.734308,0.79681275,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P<=4_A5_C0,4,0.02702703,0.03861956,0.69982749,5.664,2.25642857,-0.737449,0.82071713,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A6-7_C1,P<=4_A3_C0,15,0.07731959,0.09449466,0.81824294,18.12,4.08955963,-0.762918,0.812749,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A5_C0,P7-9_A6-7_C1,7,0.05072464,0.06532457,0.77650169,9.048,2.6475904,-0.773534,0.82868526,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A6-7_C1,P<=4_A4_C0,14,0.07216495,0.08833196,0.81697435,16.96,3.66114956,-0.808489,0.83665339,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P<=4_A3_C0,P10-12_A8+_C2,9,0.03913043,0.05012325,0.78068425,11.832,3.23444315,-0.875576,0.84063745,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A3_C0,9,0.07142857,0.09449466,0.75590062,11.728,2.98153891,-0.914964,0.87250996,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P7-9_A8+_C2,5,0.03378378,0.04847987,0.69686212,7.24,2.44588007,-0.915826,0.85258964,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A6-7_C1,P<=4_A5_C0,4,0.02515723,0.03861956,0.65141175,6.104,2.28957477,-0.918948,0.85258964,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P7-9_A6-7_C1,P<=4_A3_C0,12,0.0754717,0.09449466,0.79868745,15.372,3.60521933,-0.935311,0.84860558,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P10-12_A8+_C2,P5-6_A5_C1,3,0.02459016,0.04026294,0.61073938,5.136,2.18186759,-0.978978,0.87649402,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A5_C0,9,0.04186047,0.0566968,0.73832154,12.452,3.230082,-1.068704,0.88844622,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A4_C0,9,0.06521739,0.08833196,0.73832154,12.48,3.18908782,-1.091221,0.90039841,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A6-7_C0,7,0.03255814,0.05176664,0.62894057,10.868,3.15887479,-1.224487,0.92828685,upper,screening_selected_transition,numbers,major,transition_bucket_shape,taam_events
