current,next,observed_count,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,book,run_label,stream_type
meteg,gershayim,22,11.79,3.10502534,21,3.288218,True,0.00598802,2,500,exodus,main,full
zaqef_qatan,darga,31,19.396,3.96315495,25,2.92797,True,0.00998004,4,500,exodus,main,full
atnah,tevir,55,40.222,6.02339427,33,2.453434,True,0.01596806,7,500,exodus,main,full
atnah,revia,46,35.134,5.54775623,32,1.95863,True,0.03592814,17,500,exodus,main,full
atnah,pashta,93,90.698,8.47481214,45,0.271628,True,0.40918164,204,500,exodus,main,full
geresh,meteg,26,28.466,4.86252324,29,-0.507144,True,0.72055888,360,500,exodus,main,full
revia,meteg,59,63.188,7.64287138,42,-0.547962,True,0.74251497,371,500,exodus,main,full
mahapakh,meteg,75,81.382,8.3742661,45,-0.762097,True,0.77844311,389,500,exodus,main,full
sof_pasuq,tevir,38,42.32,6.01114529,34,-0.718665,True,0.78842315,394,500,exodus,main,full
darga,meteg,22,27.528,4.86915119,27,-1.135311,True,0.90219561,451,500,exodus,main,full
atnah,tipeha,144,160.146,10.98243652,56,-1.470166,True,0.93413174,467,500,exodus,main,full
qadma,merkha,37,45.886,5.93831046,33,-1.496385,True,0.94011976,470,500,exodus,main,full
sof_pasuq,pashta,79,95.786,9.01925151,49,-1.86113,True,0.97005988,485,500,exodus,main,full
meteg,revia,51,62.512,7.01000259,37,-1.642225,True,0.97005988,485,500,exodus,main,full
meteg,pashta,138,165.724,11.89600158,61,-2.330531,True,0.99001996,495,500,exodus,main,full
qadma,zaqef_qatan,22,36.26,5.6320369,32,-2.531944,True,0.99800399,499,500,exodus,main,full
meteg,tipeha,135,292.886,15.42182445,77,-10.237829,True,1.0,500,500,exodus,main,full
meteg,zaqef_qatan,132,183.334,11.67952339,61,-4.395214,True,1.0,500,500,exodus,main,full
munah,meteg,101,248.19,14.14135268,67,-10.408481,True,1.0,500,500,exodus,main,full
pashta,meteg,97,164.922,11.5448032,61,-5.88334,True,1.0,500,500,exodus,main,full
meteg,merkha,95,233.406,13.35912034,66,-10.360413,True,1.0,500,500,exodus,main,full
sof_pasuq,meteg,90,150.698,11.41434934,58,-5.317693,True,1.0,500,500,exodus,main,full
atnah,meteg,89,142.928,10.28680966,52,-5.242442,True,1.0,500,500,exodus,main,full
zaqef_qatan,meteg,83,183.044,11.49095942,58,-8.706323,True,1.0,500,500,exodus,main,full
zaqef_qatan,munah,80,176.444,12.32113976,64,-7.827523,True,1.0,500,500,exodus,main,full
sof_pasuq,tipeha,70,168.222,11.42969781,60,-8.593578,True,1.0,500,500,exodus,main,full
zaqef_qatan,pashta,64,117.812,10.23298999,54,-5.258678,True,1.0,500,500,exodus,main,full
meteg,munah,63,248.58,13.70807874,67,-13.538002,True,1.0,500,500,exodus,main,full
meteg,atnah,46,142.424,10.64306223,55,-9.059799,True,1.0,500,500,exodus,main,full
meteg,meteg,45,259.678,13.74073986,66,-15.623467,True,1.0,500,500,exodus,main,full
meteg,tevir,39,72.76,8.11949829,47,-4.157892,True,1.0,500,500,exodus,main,full
meteg,mahapakh,37,82.19,8.50850688,47,-5.311155,True,1.0,500,500,exodus,main,full
munah,munah,32,238.292,13.61254343,69,-15.154552,True,1.0,500,500,exodus,main,full
merkha,pashta,26,149.96,11.98539525,64,-10.342588,True,1.0,500,500,exodus,main,full
munah,mahapakh,23,78.234,8.07450551,42,-6.840543,True,1.0,500,500,exodus,main,full
meteg,qadma,21,50.646,7.06147384,37,-4.198274,True,1.0,500,500,exodus,main,full
revia,munah,20,60.454,7.60760378,42,-5.317575,True,1.0,500,500,exodus,main,full
tevir,meteg,20,72.888,7.47524009,39,-7.07509,True,1.0,500,500,exodus,main,full
meteg,sof_pasuq,856,106.016,9.06134427,48,82.76741,True,0.00199601,0,500,leviticus,main,full
merkha,tipeha,801,194.368,12.07294861,65,50.247211,True,0.00199601,0,500,leviticus,main,full
munah,zaqef_qatan,571,114.22,9.99135899,51,45.717505,True,0.00199601,0,500,leviticus,main,full
tipeha,meteg,514,205.814,11.49956016,61,26.799808,True,0.00199601,0,500,leviticus,main,full
merkha,meteg,440,170.146,11.48304859,61,23.500205,True,0.00199601,0,500,leviticus,main,full
tipeha,atnah,439,115.842,9.70594905,52,33.294838,True,0.00199601,0,500,leviticus,main,full
zaqef_qatan,tipeha,425,140.662,10.42733017,54,27.268533,True,0.00199601,0,500,leviticus,main,full
pashta,munah,399,103.476,9.34623605,51,31.619574,True,0.00199601,0,500,leviticus,main,full
mahapakh,pashta,386,34.732,5.87308797,33,59.809763,True,0.00199601,0,500,leviticus,main,full
tipeha,merkha,370,195.434,11.41833617,59,15.288217,True,0.00199601,0,500,leviticus,main,full
tipeha,munah,344,191.998,11.79798206,60,12.883729,True,0.00199601,0,500,leviticus,main,full
munah,atnah,335,93.618,9.1123073,49,26.489669,True,0.00199601,0,500,leviticus,main,full
pashta,zaqef_qatan,309,76.654,8.09848473,44,28.690058,True,0.00199601,0,500,leviticus,main,full
zaqef_qatan,merkha,300,115.718,10.10399215,51,18.238534,True,0.00199601,0,500,leviticus,main,full
tevir,merkha,238,48.196,6.56137847,37,28.927458,True,0.00199601,0,500,leviticus,main,full
atnah,merkha,179,94.634,8.532623,47,9.887464,True,0.00199601,0,500,leviticus,main,full
munah,revia,175,35.368,5.52391195,31,25.277738,True,0.00199601,0,500,leviticus,main,full
tevir,tipeha,161,59.154,6.99199972,38,14.566076,True,0.00199601,0,500,leviticus,main,full
darga,tevir,153,6.168,2.45598039,14,59.785494,True,0.00199601,0,500,leviticus,main,full
qadma,geresh,149,4.942,2.22452985,15,64.758852,True,0.00199601,0,500,leviticus,main,full
sof_pasuq,munah,140,98.568,9.13105297,47,4.537483,True,0.00199601,0,500,leviticus,main,full
pashta,pashta,133,68.96,7.74120485,40,8.272614,True,0.00199601,0,500,leviticus,main,full
sof_pasuq,merkha,131,100.142,9.03865203,48,3.414005,True,0.00199601,0,500,leviticus,main,full
merkha,tevir,100,48.728,6.77745408,38,7.565083,True,0.00199601,0,500,leviticus,main,full
sof_pasuq,qadma,100,24.214,4.79940335,29,15.790713,True,0.00199601,0,500,leviticus,main,full
sof_pasuq,mahapakh,88,32.914,5.36583529,30,10.266062,True,0.00199601,0,500,leviticus,main,full
atnah,mahapakh,85,31.182,5.41696992,31,9.935075,True,0.00199601,0,500,leviticus,main,full
geresh,munah,75,20.21,4.26735523,26,12.839334,True,0.00199601,0,500,leviticus,main,full
revia,pashta,70,23.83,4.40271141,25,10.48672,True,0.00199601,0,500,leviticus,main,full
telisha_qetana,qadma,69,2.054,1.5138254,9,44.223066,True,0.00199601,0,500,leviticus,main,full
qadma,mahapakh,66,12.794,3.39331596,20,15.679648,True,0.00199601,0,500,leviticus,main,full
revia,mahapakh,64,11.792,3.40822064,20,15.318257,True,0.00199601,0,500,leviticus,main,full
atnah,qadma,50,23.386,4.80991419,28,5.533155,True,0.00199601,0,500,leviticus,main,full
munah,paseq,47,6.286,2.29929936,13,17.707133,True,0.00199601,0,500,leviticus,main,full
sof_pasuq,revia,46,22.71,4.47727506,25,5.201825,True,0.00199601,0,500,leviticus,main,full
atnah,tevir,45,28.514,5.14185583,30,3.206235,True,0.00199601,0,500,leviticus,main,full
paseq,munah,42,6.22,2.40565466,15,14.87329,True,0.00199601,0,500,leviticus,main,full
gershayim,mahapakh,39,2.934,1.65017883,10,21.855813,True,0.00199601,0,500,leviticus,main,full
qadma,darga,39,4.854,2.15359233,13,15.855369,True,0.00199601,0,500,leviticus,main,full
yetiv,munah,39,5.712,2.20517155,12,15.095424,True,0.00199601,0,500,leviticus,main,full
geresh,revia,38,4.682,2.22863403,14,14.949965,True,0.00199601,0,500,leviticus,main,full
atnah,darga,36,11.684,3.32238174,22,7.318846,True,0.00199601,0,500,leviticus,main,full
zinor,munah,36,6.4,2.33814753,15,12.659595,True,0.00199601,0,500,leviticus,main,full
munah,segol,34,6.174,2.35686946,14,11.806339,True,0.00199601,0,500,leviticus,main,full
sof_pasuq,gershayim,33,5.576,2.2818057,14,12.018552,True,0.00199601,0,500,leviticus,main,full
telisha_gedola,qadma,32,1.662,1.28649374,8,23.581926,True,0.00199601,0,500,leviticus,main,full
revia,qadma,31,8.992,2.98827636,19,7.364781,True,0.00199601,0,500,leviticus,main,full
munah,zinor,30,6.11,2.26719659,13,10.537242,True,0.00199601,0,500,leviticus,main,full
sof_pasuq,telisha_qetana,30,5.128,2.17648574,13,11.427596,True,0.00199601,0,500,leviticus,main,full
revia,tevir,25,11.138,3.28275936,21,4.222667,True,0.00199601,0,500,leviticus,main,full
geresh,mahapakh,24,6.69,2.48722185,17,6.959572,True,0.00199601,0,500,leviticus,main,full
zaqef_qatan,zaqef_gadol,24,4.778,1.97598711,12,9.727796,True,0.00199601,0,500,leviticus,main,full
zaqef_gadol,tipeha,21,7.87,2.51271317,16,5.225427,True,0.00199601,0,500,leviticus,main,full
zaqef_gadol,merkha,20,6.25,2.37207789,14,5.796606,True,0.00199601,0,500,leviticus,main,full
sof_pasuq,darga,24,12.504,3.38835445,20,3.392797,True,0.00399202,1,500,leviticus,main,full
atnah,munah,107,93.086,8.43022784,47,1.650489,True,0.05988024,29,500,leviticus,main,full
mahapakh,meteg,63,55.388,6.77593407,36,1.123388,True,0.15169661,75,500,leviticus,main,full
atnah,tipeha,126,116.824,9.44984779,49,0.971021,True,0.18363273,91,500,leviticus,main,full
sof_pasuq,pashta,72,65.308,7.30862285,40,0.915631,True,0.21357285,106,500,leviticus,main,full
zaqef_qatan,tevir,38,34.878,5.1552176,30,0.6056,True,0.29141717,145,500,leviticus,main,full
revia,meteg,40,38.462,6.13676427,35,0.250621,True,0.41716567,208,500,leviticus,main,full
sof_pasuq,tevir,27,30.634,5.05084806,28,-0.719483,True,0.77644711,388,500,leviticus,main,full
qadma,merkha,35,39.258,5.88325261,32,-0.723749,True,0.79640719,398,500,leviticus,main,full
atnah,pashta,55,62.402,7.16177198,40,-1.033543,True,0.86427146,432,500,leviticus,main,full
meteg,pashta,101,110.936,9.35537011,51,-1.062064,True,0.88423154,442,500,leviticus,main,full
