from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P10-12_A8+_C2,P10-12_A8+_C1,12,0.08955224,0.05265986,1.70057874,7.148,2.41448866,2.009535,0.05988024,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P5-6_A5_C1,P5-6_A6-7_C1,9,0.15789474,0.08758732,1.8027123,5.022,2.10865095,1.886514,0.05788423,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P5-6_A6-7_C1,P<=4_A3_C0,16,0.09876543,0.06501881,1.51902867,10.558,3.00811128,1.809109,0.05189621,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P<=4_A3_C0,P10-12_A8+_C2,13,0.10743802,0.07146695,1.50332443,8.616,2.52929608,1.733289,0.0758483,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P7-9_A8+_C2,P10-12_A8+_C2,10,0.11904762,0.07146695,1.66577157,6.218,2.23707062,1.690604,0.08383234,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P7-9_A6-7_C1,P7-9_A8+_C1,15,0.13513514,0.09672219,1.39714715,10.85,2.9524454,1.405614,0.0998004,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P5-6_A6-7_C1,P5-6_A6-7_C1,19,0.11728395,0.08758732,1.33905173,14.094,3.51879636,1.394227,0.11776447,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P<=4_A4_C0,P10-12_A8+_C1,12,0.07643312,0.05265986,1.45144937,8.386,2.71878421,1.329271,0.11377246,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P5-6_A5_C0,9,0.05,0.03331542,1.50080645,5.988,2.28260302,1.319546,0.14171657,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P5-6_A6-7_C1,P13-15_A8+_C2,8,0.04938272,0.03439011,1.43595679,5.51,2.12577936,1.171335,0.15369261,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A6-7_C1,14,0.11570248,0.08758732,1.32099579,10.538,2.96075804,1.169295,0.16367265,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P5-6_A6-7_C1,P7-9_A6-7_C1,13,0.08024691,0.05964535,1.34540096,9.812,2.86724575,1.111868,0.17764471,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P10-12_A8+_C1,P7-9_A6-7_C1,8,0.08163265,0.05964535,1.36863394,5.808,2.37622155,0.922473,0.21556886,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P10-12_A8+_C2,P<=4_A3_C0,11,0.08208955,0.06501881,1.26255088,8.558,2.72276751,0.896882,0.21556886,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P5-6_A6-7_C1,P5-6_A6-7_C0,8,0.04938272,0.0354648,1.39244295,5.964,2.28059339,0.89275,0.24351297,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P10-12_A8+_C1,P5-6_A6-7_C1,11,0.1122449,0.08758732,1.28151997,8.584,2.75937898,0.875559,0.23153693,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P7-9_A6-7_C1,13,0.07222222,0.05964535,1.21086086,10.552,3.02482978,0.809302,0.26147705,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A5_C0,7,0.04458599,0.03331542,1.33829875,5.266,2.17363598,0.797742,0.27145709,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P<=4_A3_C0,14,0.07777778,0.06501881,1.19623508,11.79,3.02790959,0.729876,0.27145709,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P7-9_A8+_C2,P7-9_A8+_C1,10,0.11904762,0.09672219,1.23082011,8.096,2.75498892,0.69111,0.31337325,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P10-12_A8+_C2,P7-9_A8+_C1,15,0.1119403,0.09672219,1.15733831,13.0,3.21942999,0.621228,0.29740519,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P7-9_A8+_C1,P10-12_A8+_C2,15,0.08333333,0.07146695,1.1660401,12.888,3.44662363,0.612774,0.32734531,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P10-12_A8+_C2,P10-12_A8+_C2,11,0.08208955,0.07146695,1.14863652,9.316,2.79567086,0.60236,0.33532934,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A3_C0,9,0.07438017,0.06501881,1.14397924,7.842,2.73275904,0.423748,0.38722555,upper,screening_selected_transition,deuteronomy,major,transition_bucket_shape,taam_events
