source,target,count,prob_given_source,target_predecessor_share,reverse_count,asymmetry_count,asymmetry_ratio,expected_independent,lift,book,run_label,stream_type
sof_pasuq,telisha_qetana,39,0.02550687,0.41935484,0,39,inf,6.974202,5.592038,genesis,explore_k3_7_edges20,core_projected
munah,mahapakh,36,0.01498751,0.04522613,0,36,inf,93.775663,0.383895,genesis,explore_k3_7_edges20,core_projected
qadma,merkha,33,0.07221007,0.01370432,0,33,inf,53.973025,0.611417,genesis,explore_k3_7_edges20,core_projected
atnah,darga,32,0.0218281,0.12648221,0,32,inf,18.191083,1.759104,genesis,explore_k3_7_edges20,core_projected
sof_pasuq,tevir,31,0.02027469,0.04975923,0,31,inf,46.719653,0.663532,genesis,explore_k3_7_edges20,core_projected
revia,merkha,29,0.04754098,0.01204319,0,29,inf,72.042768,0.402539,genesis,explore_k3_7_edges20,core_projected
qadma,zaqef_qatan,28,0.06126915,0.0149413,19,9,1.47368421,42.003924,0.666604,genesis,explore_k3_7_edges20,core_projected
merkha,pashta,25,0.01038206,0.01469724,1,24,25.0,200.893031,0.124444,genesis,explore_k3_7_edges20,core_projected
tevir,meteg,25,0.04012841,0.00927644,41,-16,0.6097561,82.347589,0.303591,genesis,explore_k3_7_edges20,core_projected
zaqef_qatan,darga,23,0.01227321,0.09090909,0,23,inf,23.253813,0.989085,genesis,explore_k3_7_edges20,core_projected
darga,meteg,22,0.08695652,0.00816327,22,0,1.0,33.441316,0.657869,genesis,explore_k3_7_edges20,core_projected
meteg,darga,22,0.00816327,0.08695652,22,0,1.0,33.441316,0.657869,genesis,explore_k3_7_edges20,core_projected
geresh,meteg,21,0.08606557,0.00779221,18,3,1.16666667,32.251704,0.651128,genesis,explore_k3_7_edges20,core_projected
qadma,meteg,21,0.04595186,0.00779221,18,3,1.16666667,60.405856,0.347648,genesis,explore_k3_7_edges20,core_projected
